R,L,C,RC_amplitude_1,RC_mean_1,RC_standard_deviation_1,RC_amplitude_2,RC_mean_2,RC_standard_deviation_2,RC_amplitude_3,RC_mean_3,RC_standard_deviation_3,RC_amplitude_4,RC_mean_4,RC_standard_deviation_4,RC_amplitude_5,RC_mean_5,RC_standard_deviation_5,RC_amplitude_6,RC_mean_6,RC_standard_deviation_6,RC_amplitude_7,RC_mean_7,RC_standard_deviation_7,RC_amplitude_8,RC_mean_8,RC_standard_deviation_8,RC_Loss,RC_peaks,RL_amplitude_1,RL_mean_1,RL_standard_deviation_1,RL_Loss,RL_peaks
0.08789766114205122,5.465141986555805e-07,1022.5494933293154,0.001277617183794938,0.10655379505623053,0.08195093072754531,0.0003633776615735486,0.7757545129612413,0.12507455249165259,0.0008382302481762425,5.149670581618343,0.4127435209759596,0.00042033403346886816,59.48892077934331,0.3508553324226549,0.0007889439373477716,272.95447924020016,0.14179316894676647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.79873630504587e-10,5,0.00010806664606198836,0.016809852774253637,0.0322636031944641,3.841104591373418e-12,1
0.15745383501052856,5.548540511485549e-07,1154.1080531429645,0.0009332326062578445,0.08077336398796711,0.10858860539047653,0.00034956026598422727,0.6449466771037621,0.13334211492898682,0.00086047882782094,5.149670581618343,0.4198596813267628,0.00036987503858408876,65.24336329932622,0.42801242994844607,0.0006930169652053792,299.357729472049,0.15276847944978664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.160203486723971e-10,5,0.0,0.0,0.0,-1.0,0
0.23058969384874217,5.686829390043796e-07,1188.302030418279,0.0007489798452876276,0.07364918067322965,0.13812034817757024,0.00033840062212548897,0.5880625988746757,0.1479136760971102,0.000779712316340259,5.647805074067546,0.45517580021185877,0.0003901472018245942,65.24336329932622,0.39501967091265777,0.0007046404095824291,299.357729472049,0.15241115903319566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.880061178941617e-10,5,0.0,0.0,0.0,-1.0,0
0.13180719851516187,5.464369413718388e-07,1141.755266561322,0.00107220760031567,0.0927723475631406,0.09479742258676825,0.000352445042016261,0.7073332279644439,0.12835369180840678,0.000895096761334236,4.917329645779016,0.4049859348308947,0.0003661434749006827,65.24336329932622,0.4434261633981558,0.0006875192641204324,299.357729472049,0.15229202676859507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.234328137378599e-10,5,0.0,0.0,0.0,-1.0,0
0.08789127289492171,5.806886957304368e-07,2888.1317358865967,0.000615368048556679,0.006676692939187563,0.492823629317746,0.0002724182844207465,0.084589857965743,0.15233256794558,0.00018019684401030027,0.615848211066026,0.16016968949211832,0.0009338760305044521,4.69547138249342,0.3946325271734257,0.00036958079132092496,65.24336329932622,0.44703856511839984,0.0006981112053380405,299.357729472049,0.1521405823158334,0.0,0.0,0.0,0.0,0.0,0.0,1.7358568876970957e-09,6,0.0,0.0,0.0,-1.0,0
0.15814753345330246,5.686431471515642e-07,3036.200628924727,0.0005836225629156853,0.006676692939187563,0.49178044537650545,0.0002544742199908371,0.084589857965743,0.13862940811524904,0.00018891250376649454,0.615848211066026,0.1412848263699829,0.0010127674610556118,4.483622838411906,0.38169260578405184,0.0003690075343650268,68.32607387157405,0.44943885559079816,0.0006923391259400862,299.357729472049,0.15161454834868474,0.0,0.0,0.0,0.0,0.0,0.0,1.6663411227762643e-09,6,0.0,0.0,0.0,-1.0,0
0.2339156199577701,5.861075399934006e-07,3098.0769458015616,0.0005732596293428769,0.006676692939187563,0.49193833435687856,0.00026297885642082204,0.08077336398796711,0.13441685453098265,0.00020301430153305545,0.5880625988746757,0.13863797030743272,0.0009541744275173131,4.69547138249342,0.3913510821036072,0.0003848857959395648,68.32607387157405,0.42105837110070954,0.0007095682588859021,299.357729472049,0.15061053259754537,0.0,0.0,0.0,0.0,0.0,0.0,1.5318640299841614e-09,6,0.0,0.0,0.0,-1.0,0
0.13390673842513934,5.597389528639546e-07,2981.84809321378,0.000587650506657511,0.006676692939187563,0.4973263107315549,0.0002395172114679483,0.084589857965743,0.15097499548837007,0.0001742601055683349,0.5880625988746757,0.1525934865997636,0.0010120468888074237,4.483622838411906,0.38716189636654047,0.0003671626494775895,65.24336329932622,0.4615263223841911,0.0006881362528378164,299.357729472049,0.15111647091294836,0.0,0.0,0.0,0.0,0.0,0.0,1.5339858414700768e-09,6,0.0,0.0,0.0,-1.0,0
0.08789945745957084,5.827559204045397e-07,2638.764489739832,0.0004921279174521197,0.006676692939187563,0.4932649052620065,0.00024018943771671398,0.07712906117627992,0.14262226880859374,0.0001752298843029315,0.5361956770568816,0.13572187607610894,0.0011154658247551474,3.9037203328860843,0.37850506045757004,0.00037286438250300316,68.32607387157405,0.4541201427692297,0.0006977293497926528,299.357729472049,0.15105314573530906,0.0,0.0,0.0,0.0,0.0,0.0,1.604039513659408e-09,6,0.0,0.0,0.0,-1.0,0
0.15839942553429864,5.70355758150607e-07,2698.1586084849337,0.0004955699917874734,0.006676692939187563,0.4896947743906102,0.0002497116723544903,0.07712906117627992,0.13480624826319643,0.0001899323544758786,0.5615306076746273,0.12765158378433136,0.0012256587454102874,3.5594135232168624,0.3683602339801746,0.00037543223973631184,68.32607387157405,0.4434781009201926,0.000690809294030388,299.357729472049,0.1513934467445939,0.0,0.0,0.0,0.0,0.0,0.0,1.7149220028585618e-09,6,0.0,0.0,0.0,-1.0,0
0.23292411496368004,5.883360557545196e-07,2655.0601287946265,0.00045579350625286376,0.006992162756659375,0.493615701957193,0.00025635114267111433,0.07364918067322965,0.132707140741027,0.00020843935542594233,0.5615306076746273,0.12415141842268798,0.0011798880598069647,3.727593720314938,0.3703289190881919,0.00038706556390239214,68.32607387157405,0.4253885829803396,0.0007033904698618637,299.357729472049,0.15089007355031817,0.0,0.0,0.0,0.0,0.0,0.0,1.5315918741912186e-09,6,0.0,0.0,0.0,-1.0,0
0.1347427077125758,5.621112412464005e-07,2664.0550404966266,0.0005078427205525566,0.006676692939187563,0.4918076661711449,0.00023488096986579743,0.07712906117627992,0.14522463016713064,0.00017782196602664528,0.5361956770568816,0.13491027215324772,0.0012222665251001854,3.5594135232168624,0.373075745687084,0.0003734128140171911,68.32607387157405,0.45428655245651395,0.0006859162947972654,299.357729472049,0.15014468538224982,0.0,0.0,0.0,0.0,0.0,0.0,1.8326325468112753e-09,6,0.0,0.0,0.0,-1.0,0
